Real GDP growth (Annual percent change),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Portugal,3.8,1.9,0.8,-0.9,1.8,0.8,1.6,2.5,0.3,-3.1,1.7,-1.7,-4.1,-0.9,0.8,1.8,2,3.5,2.6,2.2,-10
Puerto Rico,3.3,9.5,2.2,2.3,2,-2,-1.4,-1.2,-1.8,-2,-0.4,-0.4,0,-0.3,-1.2,-1,-1.3,-2.7,-4.9,2,-7.5
Qatar,6.9,4.5,6.9,4,19.2,7.8,28.1,18.2,17.5,13.1,17.7,11.3,4.7,5.6,5.3,4.8,3.1,-1.5,1.2,0.8,-4.5
Romania,2.9,5.2,5.7,2.3,10.4,4.7,8,7.2,9.3,-5.5,-3.9,2,2.1,3.5,3.4,3.9,4.8,7.1,4.4,4.1,-4.8
Russian Federation,10,5.1,4.7,7.3,7.2,6.4,8.2,8.5,5.2,-7.8,4.5,5.1,4,1.8,0.7,-2,0.2,1.8,2.5,1.3,-4.1
Rwanda,12.4,5.9,12.8,-2.9,7.7,9.4,15,7,1.7,8.6,6,9,8.6,5.9,7.8,8.9,6,4,8.6,9.4,2
Saint Kitts and Nevis,9.7,5.3,1.4,-3.9,4,9.7,3.2,0.6,6.1,-4,-0.6,1.8,-2.2,5.4,6.3,1,2.8,-2,2.9,2.8,-18.7
Saint Lucia,0,-3.4,0.4,4.3,7.3,-0.4,6.2,1.9,4.9,-1.8,0.5,4.8,-0.3,-2.2,1.3,-0.2,3.8,3.5,2.6,1.7,-16.9
Saint Vincent and the Grenadines,1.8,1.7,6.3,7.7,4.2,2.5,7.7,3.3,1.6,-2.1,-3.4,-0.4,1.4,1.8,1.2,1.3,1.9,1,2.2,0.4,-7
Samoa,5.1,7.4,5.7,5.2,3.1,6.6,2.1,0.5,3.6,-0.5,2.6,4.2,-4.1,-0.4,0.1,4.3,8.1,1,-2.2,3.5,-5
San Marino,2.2,5.5,0.3,3.9,4.6,2.4,3.8,7.1,-0.4,-10.1,-5.8,-8.5,-7.2,-0.8,-0.7,2.7,2.3,0.4,1.7,1.1,-11
Saudi Arabia,5.6,-1.2,-2.8,11.2,8,5.6,2.8,1.8,6.2,-2.1,5,10,5.4,2.7,3.7,4.1,1.7,-0.7,2.4,0.3,-5.4
